"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-05","May-1961","IDX","Index","0","Units",,,100.9819,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-06","Jun-1961","IDX","Index","0","Units",,,101.2302,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-07","Jul-1961","IDX","Index","0","Units",,,101.4051,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-08","Aug-1961","IDX","Index","0","Units",,,101.6717,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-09","Sep-1961","IDX","Index","0","Units",,,101.8905,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-10","Oct-1961","IDX","Index","0","Units",,,101.9112,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-11","Nov-1961","IDX","Index","0","Units",,,101.8697,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-12","Dec-1961","IDX","Index","0","Units",,,101.9884,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-01","Jan-1962","IDX","Index","0","Units",,,101.8996,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-02","Feb-1962","IDX","Index","0","Units",,,101.6931,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-03","Mar-1962","IDX","Index","0","Units",,,101.2648,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-04","Apr-1962","IDX","Index","0","Units",,,100.5686,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-05","May-1962","IDX","Index","0","Units",,,99.93162,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-06","Jun-1962","IDX","Index","0","Units",,,99.51775,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-07","Jul-1962","IDX","Index","0","Units",,,99.31361,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-08","Aug-1962","IDX","Index","0","Units",,,99.22857,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-09","Sep-1962","IDX","Index","0","Units",,,99.34373,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-10","Oct-1962","IDX","Index","0","Units",,,99.66055,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-11","Nov-1962","IDX","Index","0","Units",,,100.0978,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-12","Dec-1962","IDX","Index","0","Units",,,100.444,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1963-01","Jan-1963","IDX","Index","0","Units",,,100.503,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1963-02","Feb-1963","IDX","Index","0","Units",,,100.511,,
